Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Yerleşim yeri,Mahalle,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,30,2049TXS110H,TZG. ÜSTÜ LAVABO (28x45),100.000,Z100,Serel Yİ Satış,,15449,ZT01,Serel Yurtiçi Tesl.,80207894,16732,,7/20/2023,Z100,Serel Yİ Satış,7/20/2023,L,90683401,SR02023000000274,TRY,384.00,0.00,"38,400.00","38,400.00","7,680.00",384.00,"38,400.00",12.72,"1,272.24",14.28,"1,427.71",11.06,"1,105.67","3,456,000",90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,VARDAR2023,Z090,0000015449,7/17/2023,M,,,,,,0001250977,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,30,M,"46,080.00",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,299.75,"29,975.00",305.34,"30,534.00"
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,20,150910100449,KOLİ LAVABO L86 BASKISIZ,20.000,Z100,Serel Yİ Satış,,15460,ZT01,Serel Yurtiçi Tesl.,80207848,16716,,7/18/2023,Z100,Serel Yİ Satış,7/18/2023,L,90683067,SR12023000002265,TRY,45.00,0.00,900.00,900.00,180.00,45.00,900.00,1.53,30.52,1.72,34.30,1.31,26.25,"81,000",90,,4312,1040048,,,,AMBALAJ MALZEME,KOLİLER,ÜRETİME YARDIMCI-AMBALAJ-,VARDAR2023,Z090,0000015460,7/18/2023,M,,,,,,0001250265,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,20,M,"1,080.00",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,23.37,467.40,23.37,467.40
202307,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,150910100450,KOLİ LAVABO L87 BASKISIZ,20.000,Z100,Serel Yİ Satış,,15460,ZT01,Serel Yurtiçi Tesl.,80207848,16716,,7/18/2023,Z100,Serel Yİ Satış,7/18/2023,L,90683067,SR12023000002265,TRY,35.00,0.00,700.00,700.00,140.00,35.00,700.00,1.19,23.74,1.33,26.68,1.02,20.42,"63,000",90,,4312,1040048,,,,AMBALAJ MALZEME,KOLİLER,ÜRETİME YARDIMCI-AMBALAJ-,VARDAR2023,Z090,0000015460,7/18/2023,M,,,,,,0001250265,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,840.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,18.72,374.40,18.62,372.40
202307,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,2600,MUSTAFA TÜRKÇÜ BANYO SEPETİ YAPI MALZEME,TR,İSTANBUL,KAĞITHANE,10,150990400771,8236 MONTAJ TAKOZU 4 (DUBEL),200.000,Z100,Serel Yİ Satış,4500252511,15515,ZT01,Serel Yurtiçi Tesl.,80208820,16766,,7/25/2023,Z100,Serel Yİ Satış,7/25/2023,L,90684571,SR12023000002367,TRY,8.40,0.00,"1,680.00","1,680.00",336.00,8.40,"1,680.00",0.28,56.25,0.31,62.40,0.24,48.67,"151,200",90,,,1040048,,,,DİĞER MALZEME,,,EMAR202304,Z090,0000015515,7/25/2023,M,,,,,1099,0001253264,4500252511,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,10,M,"2,016.00",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202307,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,2600,EMAR MANİSA DEPO,TR,MANİSA,YUNUSEMRE,120,150990400771,8236 MONTAJ TAKOZU 4 (DUBEL),"1,000.000",Z100,Serel Yİ Satış,,15510,ZT01,Serel Yurtiçi Tesl.,80208743,16777,,7/31/2023,Z100,Serel Yİ Satış,7/31/2023,L,90685635,SR12023000002447,TRY,8.40,0.00,"8,400.00","8,400.00","1,680.00",8.40,"8,400.00",0.28,284.07,0.31,311.81,0.24,243.66,"756,000",90,,,1040048,,,,DİĞER MALZEME,,,EMAR202304,Z090,0000015510,7/24/2023,M,,,,,1099,0001255672,4500252444,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,120,M,"10,080.00",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202307,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLERİ SA,TR,ISTANBUL,ŞİŞLİ,30,FFARKKAPAK,FİYAT FARKI KLOZET KAPAĞI,-1,ZA01,Serel Alacak Dekontu,,60001363,,,60001363,,,,ZA01,Serel Alacak Dekontu,7/25/2023,A,900027772,0000000000000000,TRY,"2,431.49",0.00,"2,431.49","2,431.49",486.30,"2,431.49","-2,431.49",81.42,-81.42,90.32,-90.32,70.45,-70.45,0,0,0,,1040042,,,,,,,,Z000,0060001363,,M,,,,Z37,1099,0001256496,EA022030000000971,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,30,O,"-1,945.19",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202307,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLERİ SA,TR,ISTANBUL,ŞİŞLİ,10,FFARKSERAMİK,FİYAT FARKI SERAMİK,-1,ZA01,Serel Alacak Dekontu,,60001363,,,60001363,,,,ZA01,Serel Alacak Dekontu,7/25/2023,A,900027772,0000000000000000,TRY,153.60,0.00,153.60,153.60,30.72,153.60,-153.6,5.14,-5.14,5.71,-5.71,4.45,-4.45,0,0,0,,1040041,,,,,,,,Z000,0060001363,,M,,,,Z37,1099,0001256496,EA022030000000971,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,10,O,-122.88,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202307,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLERİ SA,TR,ISTANBUL,ŞİŞLİ,20,FFARKMALZEME,FİYAT FARKI MALZEME,-1,ZA01,Serel Alacak Dekontu,,60001363,,,60001363,,,,ZA01,Serel Alacak Dekontu,7/25/2023,A,900027772,0000000000000000,TRY,"18,774.33",0.00,"18,774.33","18,774.33","3,754.86","18,774.33","-18,774.33",628.65,-628.65,697.38,-697.38,543.95,-543.95,0,0,0,,1040048,,,,,,,,Z000,0060001363,,M,,,,Z37,1099,0001256496,EA022030000000971,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,20,O,"-15,019.47",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202307,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0012724,KOÇTAŞ YAPI MARKETLERİ TİCARET A.Ş. KOÇT,TR,İZMİR,ÇEŞME,10,TP08STL110H,SERAMİK TAPA VE LAV. SİFONU,5.000,Z400,Elm Bayi Sts Sip.,,20371855,Z400,Elm. Bayi Tsl.,810647912,16700,,7/13/2023,Z101,Serel Intercompany,7/13/2023,I,90682223,SR12023000002189,TRY,171.33,0.00,856.65,856.65,171.33,171.33,856.65,5.95,29.77,6.56,32.81,5.08,25.42,"160,335",150,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,TAPA SİFON,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020371855,5/15/2023,M,,,,,,0001248527,5304250576,EXW,ÜY,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,856.65,ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,5,"1,027.98",D0012724,KOÇTAŞ YAPI MARKETLERİ TİCARET A.Ş.,İZMİR,TR,35,Izmir,80.19,400.95,227.17,"1,135.85"
202307,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0004371,SUR INSAAT TIC.LTD.STI.,TR,DİYARBAKIR,KAYAPINAR,50,TP08STL110H,SERAMİK TAPA VE LAV. SİFONU,5.000,Z400,Elm Bayi Sts Sip.,,20376382,Z400,Elm. Bayi Tsl.,810645665,16627,,7/5/2023,Z101,Serel Intercompany,7/5/2023,I,90680802,SR22023000000408,TRY,171.33,0.00,856.65,856.65,154.20,171.33,856.65,6.04,30.22,6.59,32.94,5.20,25.98,"154,610",150,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,TAPA SİFON,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020376382,6/20/2023,M,,,,,,0001246553,,EXW,ÜY,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,856.65,ELMOR TESİSAT MALZ.TİC.A.Ş.,,50,5,"1,010.85",504018,SUR İNŞAAT TİC. LTD. ŞTİ.,DİYARBAKIR,TR,21,Diyarbakir,80.19,400.95,227.17,"1,135.85"
