Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Yerleşim yeri,Mahalle,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202306,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,2058TXS110H,SİLİNDİRİK LAVABO (46x46),66.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80204341,16520,,6/13/2023,Z100,Serel Yİ Satış,6/13/2023,L,90676731,SR22023000000363,TRY,650.00,0.00,"42,900.00","42,900.00","7,722.00",650.00,"42,900.00",25.56,"1,687.10",27.53,"1,816.90",21.92,"1,446.61","3,861,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ÇANAK,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001239426,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,"50,622.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,329.76,"21,764.16",649.17,"42,845.22"
202306,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3001TXS110H,LAVABO (46x60),200.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80204341,16520,,6/13/2023,Z100,Serel Yİ Satış,6/13/2023,L,90676731,SR22023000000363,TRY,490.00,0.00,"98,000.00","98,000.00","17,640.00",490.00,"98,000.00",19.27,"3,853.99",20.75,"4,150.48",16.52,"3,304.61","8,820,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001239426,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,"115,640.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,306.47,"61,294.00",384.76,"76,952.00"
202306,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),420.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80204341,16520,,6/13/2023,Z100,Serel Yİ Satış,6/13/2023,L,90676731,SR22023000000363,TRY,588.00,0.00,"246,960.00","246,960.00","44,452.80",588.00,"246,960.00",23.12,"9,712.05",24.90,"10,459.22",19.83,"8,327.63","22,226,400",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001239426,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,"291,412.80",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,487.16,"204,607.20",488.87,"205,325.40"
202306,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),120.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80204341,16520,,6/13/2023,Z100,Serel Yİ Satış,6/13/2023,L,90676731,SR22023000000363,TRY,689.00,0.00,"82,680.00","82,680.00","14,882.40",689.00,"82,680.00",27.10,"3,251.51",29.18,"3,501.65",23.23,"2,788.02","7,441,200",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001239426,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,"97,562.40",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,659.74,"79,168.80",712.28,"85,473.60"
202306,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLERİ SA,TR,ISTANBUL,ŞİŞLİ,10,FFARKMALZEME,FİYAT FARKI MALZEME,-1,ZA01,Serel Alacak Dekontu,,60001354,,,60001354,,,,ZA01,Serel Alacak Dekontu,6/19/2023,A,900027697,0000000000000000,TRY,"17,202.86",0.00,"17,202.86","17,202.86","3,096.52","17,202.86","-17,202.86",664.70,-664.7,727.74,-727.74,569.62,-569.62,0,0,0,,1040048,,,,,,,,Z000,0060001354,,M,,,,Z37,1099,0001253238,EA202300000016142,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,10,O,"-14,106.34",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202306,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,2600,EMAR MANİSA DEPO,TR,MANİSA,YUNUSEMRE,310,150990400771,8236 MONTAJ TAKOZU 4 (DUBEL),"1,200.000",Z100,Serel Yİ Satış,4500238165,14583,ZT01,Serel Yurtiçi Tesl.,80201158,16451,,6/1/2023,Z100,Serel Yİ Satış,6/1/2023,L,90674594,SR12023000001833,TRY,8.40,0.00,"10,080.00","10,080.00","1,814.40",8.40,"10,080.00",0.38,456.97,0.41,487.82,0.33,395.25,"907,200",90,,,1040048,,,,DİĞER MALZEME,,,EMAR202304,Z090,0000014583,4/4/2023,M,,,,,1099,0001235490,4500238165,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,310,M,"11,894.40",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202306,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLERİ SA,TR,ISTANBUL,ŞİŞLİ,20,FFARKKAPAK,FİYAT FARKI KLOZET KAPAĞI,-1,ZA01,Serel Alacak Dekontu,,60001354,,,60001354,,,,ZA01,Serel Alacak Dekontu,6/19/2023,A,900027697,0000000000000000,TRY,168.96,0.00,168.96,168.96,30.41,168.96,-168.96,6.53,-6.53,7.15,-7.15,5.59,-5.59,0,0,0,,1040042,,,,,,,,Z000,0060001354,,M,,,,Z37,1099,0001253238,EA202300000016142,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,20,O,-138.55,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202306,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,,ELMOR TESİSAT MALZ.TİC.A.Ş.,TR,ISTANBUL,ŞİŞLİ,10,FFARKSERAMİK,FİYAT FARKI SERAMİK,-1,ZA01,Serel Alacak Dekontu,,60001343,,,60001343,,,,ZA01,Serel Alacak Dekontu,6/7/2023,A,900027367,0000000000000000,TRY,594.77,0.00,594.77,594.77,107.06,594.77,-594.77,25.91,-25.91,27.72,-27.72,22.36,-22.36,0,0,0,,1040041,,,,,,,,Z000,0060001343,,M,,,,Z38,1099,0001239729,EL42023000006133,EXW,MANISA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,0.00,ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,O,-487.71,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
202306,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0003006,IZMIR TARA YAPI MALZEMELERI TIC. VE  SAN,TR,İZMİR,BAYRAKLI,10,FU14STS110H,AKSESUAR ETAJER,2.000,Z440,Elmor Sevk Bek. Sip.,,20377278,,,,,,,ZDH1,,6/23/2023,X,90678785,SR02023000000164,TRY,249.42,0.00,498.84,498.84,89.79,249.42,498.84,9.60,19.21,10.56,21.12,8.28,16.56,"90,032",150,,4351,1040043,VC,AKSESUAR,ALT,AKSESUAR,FYNS ÜST ETAJER,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020377278,6/21/2023,M,,,,,,0001243398,,EXW,MANISA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,498.84,ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,5,588.63,503001,İZMİR TARA YAPI MALZ. TİC.SAN. A.Ş.,İZMİR,TR,35,Izmir,127.73,255.46,64.05,128.10
202306,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,2600,EMAR MANİSA DEPO,TR,MANİSA,YUNUSEMRE,161,TP07STL110H,VENTİL LAVABO TAPASI,30.000,Z100,Serel Yİ Satış,4500245925,14898,ZT01,Serel Yurtiçi Tesl.,80203430,16451,,6/1/2023,Z100,Serel Yİ Satış,6/1/2023,L,90674595,SR12023000001834,TRY,54.00,0.00,"1,620.00","1,620.00",291.60,54.00,"1,620.00",2.45,73.44,2.61,78.40,2.12,63.52,"145,800",90,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,BUTON,AKSESUAR SERAMİK MAMUL,EMAR202304,Z090,0000014898,5/29/2023,M,,,,,1099,0001235491,4500245925,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,161,M,"1,911.60",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,43.55,"1,306.50",59.26,"1,777.80"
202306,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,2600,NETİCE GÜRSULAR,TR,İZMİR,KONAK,11,TP07STL110H,VENTİL LAVABO TAPASI,50.000,Z100,Serel Yİ Satış,4500248110,15005,ZT01,Serel Yurtiçi Tesl.,80204182,16511,,6/9/2023,Z100,Serel Yİ Satış,6/9/2023,L,90675840,SR42023000000214,TRY,54.00,0.00,"2,700.00","2,700.00",486.00,54.00,"2,700.00",2.16,107.96,2.32,115.77,1.86,93.06,"243,000",90,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,BUTON,AKSESUAR SERAMİK MAMUL,EMAR202304,Z090,0000015005,6/9/2023,M,,,,,1099,0001238014,4500248110,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLESANAYİ VE TİCARET A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,SANAYİ VE TİCARET A.Ş.,11,M,"3,186.00",2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZMETLE,ISTANBUL,TR,34,Istanbul,43.55,"2,177.50",59.26,"2,963.00"
202306,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0012137,KOCTAS YAPI MARKETLERI TICARET A.S.  ( A,TR,ANKARA,ETIMESGUT,10,TP08STL110H,SERAMİK TAPA VE LAV. SİFONU,15.000,Z400,Elm Bayi Sts Sip.,,20369530,Z400,Elm. Bayi Tsl.,810641368,16498,,6/8/2023,Z101,Serel Intercompany,6/8/2023,I,90675060,SR12023000001867,TRY,171.33,0.00,"2,569.95","2,569.95",462.59,171.33,"2,569.95",6.96,104.36,7.44,111.64,5.99,89.90,"481,005",150,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,TAPA SİFON,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020369530,4/12/2023,M,,,,,,0001236617,6700648846,EXW,ÜY,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,"2,569.95",ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,5,"3,032.54",D0012137,KOCTAS YAPI MARKETLERI TICARET A.S.,ANKARA,TR,06,Ankara,80.19,"1,202.85",227.17,"3,407.55"
202306,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0012109,KOCTAS YAPI MARKETLERI TICARET A.S.  ( Y,TR,İSTANBUL,BAHÇELIEVLER,10,TP08STL110H,SERAMİK TAPA VE LAV. SİFONU,40.000,Z400,Elm Bayi Sts Sip.,,20372508,Z400,Elm. Bayi Tsl.,810641383,16501,,6/9/2023,Z101,Serel Intercompany,6/9/2023,I,90675721,SR42023000000138,TRY,171.33,0.00,"6,853.20","6,853.20","1,233.58",171.33,"6,853.20",6.85,274.02,7.35,293.86,5.90,236.20,"1,282,680",150,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,TAPA SİFON,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020372508,5/22/2023,M,,,,,,0001237880,6400147316,EXW,ÜY,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,"6,853.20",ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,5,"8,086.78",D0012109,KOCTAS YAPI MARKETLERI TICARET A.S.,İSTANBUL,TR,34,Istanbul,80.19,"3,207.60",227.17,"9,086.80"
202306,43,1201,TOPLULUK ICI IC PIYASA,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,D0012119,KOCTAS YAPI MARKETLERI TICARET A.S.  ( K,TR,KONYA,SELÇUKLU,10,TP08STL110H,SERAMİK TAPA VE LAV. SİFONU,5.000,Z400,Elm Bayi Sts Sip.,,20364792,Z400,Elm. Bayi Tsl.,810641363,16510,,6/12/2023,Z101,Serel Intercompany,6/12/2023,I,90675798,SR12023000001885,TRY,171.33,0.00,856.65,856.65,154.20,171.33,856.65,6.79,33.95,7.31,36.56,5.84,29.18,"160,335",150,,4351,1040043,FC,AKSESUAR,ALT,AKSESUAR,TAPA SİFON,AKSESUAR SERAMİK MAMUL,A2340D0002,Z150,0020364792,2/23/2023,M,,,,,,0001237962,6700630610,EXW,ÜY,4200,ELMOR TESİSAT MALZ.TİC.A.Ş.,ISTANBUL,ŞİŞLİ,856.65,ELMOR TESİSAT MALZ.TİC.A.Ş.,,10,5,"1,010.85",D0012119,KOCTAS YAPI MARKETLERI TICARET A.S.,KONYA,TR,42,Konya,80.19,400.95,227.17,"1,135.85"
