Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Kent,Semt,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,2058TXS110H,SİLİNDİRİK LAVABO (46x46),120.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80197640,15986,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654825,SR22023000000109,TRY,650.00,0.00,78000.00,78000.00,14040.00,650.00,78000.00,32.49,3899.18,34.46,4134.71,28.59,3430.37,7020000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ÇANAK,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001201271,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,92040.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,523.19,62782.80,544.27,65312.40
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3037TXS110H,ETAJERLİ LAVABO (46x100),360.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80197640,15986,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654825,SR22023000000109,TRY,689.00,0.00,248040.00,248040.00,44647.20,689.00,248040.00,34.44,12399.40,36.52,13148.37,30.30,10908.56,22323600,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001201271,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,292687.20,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,571.37,205693.20,587.90,211644.00
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3035TXS110H,ETAJERLİ LAVABO (46x80),28.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80197640,15986,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654825,SR22023000000109,TRY,588.00,0.00,16464.00,16464.00,2963.52,588.00,16464.00,29.39,823.03,31.17,872.74,25.86,724.07,1481760,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001201271,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,19427.52,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,474.16,13276.48,486.31,13616.68
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,3001TXS110H,LAVABO (46x60),200.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80197640,15986,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654825,SR22023000000109,TRY,490.00,0.00,98000.00,98000.00,17640.00,490.00,98000.00,24.49,4898.97,25.97,5194.89,21.55,4309.95,8820000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001201271,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,115640.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,370.10,74020.00,387.09,77418.00
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3035TXS110H,ETAJERLİ LAVABO (46x80),392.000,Z100,Serel Yİ Satış,,14254,ZT01,Serel Yurtiçi Tesl.,80197642,15987,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654826,SR22023000000110,TRY,588.00,0.00,230496.00,230496.00,41489.28,588.00,230496.00,29.39,11522.38,31.17,12218.38,25.86,10136.99,20744640,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014254,2/6/2023,M,,,,,1099,0001201272,4500007786,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,271985.28,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,474.16,185870.72,486.31,190633.52
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,10,3001TXS110H,LAVABO (46x60),240.000,Z100,Serel Yİ Satış,,14401,ZT01,Serel Yurtiçi Tesl.,80197641,15988,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654827,SR22023000000111,TRY,490.00,0.00,117600.00,117600.00,21168.00,490.00,117600.00,24.49,5878.77,25.97,6233.87,21.55,5171.94,10584000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2023,Z090,0000014401,3/1/2023,M,,,,,,0001201273,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,138768.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,370.10,88824.00,387.09,92901.60
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,20,3035TXS110H,ETAJERLİ LAVABO (46x80),140.000,Z100,Serel Yİ Satış,,14401,ZT01,Serel Yurtiçi Tesl.,80197641,15988,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654827,SR22023000000111,TRY,588.00,0.00,82320.00,82320.00,14817.60,588.00,82320.00,29.39,4115.14,31.17,4363.71,25.86,3620.36,7408800,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014401,3/1/2023,M,,,,,,0001201273,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,20,M,97137.60,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,474.16,66382.40,486.31,68083.40
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,30,NT30TDS110H,NITA ETAJERLİ LAVABO (48x65),84.000,Z100,Serel Yİ Satış,,14401,ZT01,Serel Yurtiçi Tesl.,80197641,15988,,3/1/2023,Z100,Serel Yİ Satış,3/1/2023,L,90654827,SR22023000000111,TRY,490.00,0.00,41160.00,41160.00,7408.80,490.00,41160.00,24.49,2057.57,25.97,2181.85,21.55,1810.18,3704400,90,,4350,1040041,FC,TAKIM,ORTA,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014401,3/1/2023,M,,,,,,0001201273,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,30,M,48568.80,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,473.99,39815.16,499.92,41993.28
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3001TXS110H,LAVABO (46x60),16.000,Z100,Serel Yİ Satış,,14242,ZT01,Serel Yurtiçi Tesl.,80197137,16012,,3/15/2023,Z100,Serel Yİ Satış,3/15/2023,L,90656822,SR12023000000996,TRY,490.00,0.00,7840.00,7840.00,1411.20,490.00,7840.00,24.15,386.35,25.86,413.69,21.30,340.77,705600,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2023,Z090,0000014242,2/2/2023,M,,,,,,0001204746,2,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,9251.20,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,370.10,5921.60,387.09,6193.44
202303,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,10,RT30TXS110H,RITA TZG. ÜSTÜ LAVABO (44x59),1.000,Z100,Serel Yİ Satış,,14562,ZT01,Serel Yurtiçi Tesl.,80198236,16139,,3/29/2023,Z100,Serel Yİ Satış,3/29/2023,L,90660200,SR22023000000179,TRY,680.00,0.00,680.00,680.00,122.40,680.00,680.00,32.94,32.94,35.63,35.63,29.00,29.00,61200,90,,4350,1040041,FC,TAKIM,ÜST,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,VARDAR2023,Z090,0000014562,3/29/2023,M,,,,,,0001210841,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,802.40,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,407.81,407.81,438.60,438.60
