Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Kent,Semt,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,2049TXL110H,TZG. ÜSTÜ LAVABO (28x45),100.000,Z100,Serel Yİ Satış,,14048,ZT01,Serel Yurtiçi Tesl.,80196458,15664,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642225,SR12023000000004,TRY,350.00,0.00,35000.00,35000.00,6300.00,350.00,35000.00,17.76,1776.29,18.67,1866.69,15.75,1574.65,3150000,90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,ORKA202301,Z090,0000014048,1/9/2023,M,,,,,1099,0001177730,ORKA01,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,41300.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,218.66,21866.00,218.69,21869.00
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,3001TXS110H,LAVABO (46x60),160.000,Z100,Serel Yİ Satış,,14065,ZT01,Serel Yurtiçi Tesl.,80196625,15704,,1/17/2023,Z100,Serel Yİ Satış,1/17/2023,L,90644084,SR12023000000114,TRY,490.00,0.00,78400.00,78400.00,14112.00,490.00,78400.00,24.12,3858.97,26.11,4177.30,21.42,3426.81,7056000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014065,1/10/2023,M,,,,,1099,0001181636,4500007247-450000766,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,92512.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,306.04,48966.40,363.58,58172.80
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,10,3001TXS110H,LAVABO (46x60),240.000,Z100,Serel Yİ Satış,,13251,ZT01,Serel Yurtiçi Tesl.,80196419,15655,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642226,SR12023000000005,TRY,350.00,0.00,84000.00,84000.00,15120.00,350.00,84000.00,17.76,4263.09,18.67,4480.05,15.75,3779.17,7560000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2204,Z090,0000013251,10/7/2022,M,,,,,,0001177731,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,99120.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,306.04,73449.60,363.58,87259.20
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3001TXS110H,LAVABO (46x60),320.000,Z100,Serel Yİ Satış,,14048,ZT01,Serel Yurtiçi Tesl.,80196458,15664,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642225,SR12023000000004,TRY,490.00,0.00,156800.00,156800.00,28224.00,490.00,156800.00,24.87,7957.78,26.13,8362.76,22.05,7054.45,14112000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014048,1/9/2023,M,,,,,1099,0001177730,ORKA01,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,185024.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,306.04,97932.80,363.58,116345.60
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3035TXS110H,ETAJERLİ LAVABO (46x80),364.000,Z100,Serel Yİ Satış,,14048,ZT01,Serel Yurtiçi Tesl.,80196458,15664,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642225,SR12023000000004,TRY,588.00,0.00,214032.00,214032.00,38525.76,588.00,214032.00,29.84,10862.36,31.36,11415.16,26.45,9629.33,19262880,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014048,1/9/2023,M,,,,,1099,0001177730,ORKA01,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,252557.76,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,385.00,140140.00,454.25,165347.00
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO FABRİKASI,TR,Manisa,Şehzadeler,20,3035TXS110H,ETAJERLİ LAVABO (46x80),224.000,Z100,Serel Yİ Satış,,13251,ZT01,Serel Yurtiçi Tesl.,80196419,15655,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642226,SR12023000000005,TRY,420.00,0.00,94080.00,94080.00,16934.40,420.00,94080.00,21.32,4774.67,22.40,5017.65,18.90,4232.67,8467200,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2204,Z090,0000013251,10/7/2022,M,,,,,,0001177731,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,20,M,111014.40,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,385.00,86240.00,454.25,101752.00
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3035TXS110H,ETAJERLİ LAVABO (46x80),168.000,Z100,Serel Yİ Satış,,14065,ZT01,Serel Yurtiçi Tesl.,80196625,15704,,1/17/2023,Z100,Serel Yİ Satış,1/17/2023,L,90644084,SR12023000000114,TRY,588.00,0.00,98784.00,98784.00,17781.12,588.00,98784.00,28.94,4862.30,31.33,5263.40,25.70,4317.78,8890560,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014065,1/10/2023,M,,,,,1099,0001181636,4500007247-450000766,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,116565.12,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,385.00,64680.00,454.25,76314.00
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3037TXS110H,ETAJERLİ LAVABO (46x100),96.000,Z100,Serel Yİ Satış,,14065,ZT01,Serel Yurtiçi Tesl.,80196625,15704,,1/17/2023,Z100,Serel Yİ Satış,1/17/2023,L,90644084,SR12023000000114,TRY,689.00,0.00,66144.00,66144.00,11905.92,689.00,66144.00,33.91,3255.71,36.71,3524.28,30.12,2891.11,5952960,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014065,1/10/2023,M,,,,,1099,0001181636,4500007247-450000766,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,78049.92,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,476.80,45772.80,547.63,52572.48
202301,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,3037TXS110H,ETAJERLİ LAVABO (46x100),96.000,Z100,Serel Yİ Satış,,14048,ZT01,Serel Yurtiçi Tesl.,80196458,15664,,1/9/2023,Z100,Serel Yİ Satış,1/9/2023,L,90642225,SR12023000000004,TRY,689.00,0.00,66144.00,66144.00,11905.92,689.00,66144.00,34.97,3356.88,36.75,3527.72,31.00,2975.83,5952960,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014048,1/9/2023,M,,,,,1099,0001177730,ORKA01,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,78049.92,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,476.80,45772.80,547.63,52572.48
202301,43,1201,TOPLULUK ICI IC PIYASA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZ.SAN.VE TİC.A.Ş.,2600,EMAR MANİSA DEPO,TR,MANİSA,YUNUSEMRE,60,150990400771,8236 MONTAJ TAKOZU 4 (DUBEL),300.000,Z100,Serel Yİ Satış,4500228772,14084,ZT01,Serel Yurtiçi Tesl.,80196516,15698,,1/18/2023,Z100,Serel Yİ Satış,1/18/2023,L,90644374,SR12023000000169,TRY,6.60,0.00,1980.00,1980.00,356.40,6.60,1980.00,0.32,97.46,0.35,105.49,0.29,86.52,178200,90,,,1040048,,,,DİĞER MALZEME,,,EMAR202209,Z090,0000014084,1/11/2023,M,,,,,1099,0001182340,4500228772,EXW,MANISA,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZ.SAN.VE TİC.A.Ş.,ISTANBUL,ŞİŞLİ,0.00,EMAR SATIŞ SONRASI MÜŞTERİ HİZ.,SAN.VE TİC.A.Ş.,60,M,2336.40,2600,EMAR SATIŞ SONRASI MÜŞTERİ HİZ.SAN.,ISTANBUL,TR,34,Istanbul,0.00,0.00,0.00,0.00
