Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Kent,Semt,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),280.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194246,15441,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635441,SR12022000003975,TRY,420.00,0.00,117600.00,117600.00,21168.00,420.00,117600.00,21.78,6098.83,22.56,6315.99,18.85,5277.28,10584000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164569,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,138768.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,356.43,99800.40,383.92,107497.60
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,50,2049TXL110H,TZG. ÜSTÜ LAVABO (28x45),1700.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194246,15441,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635441,SR12022000003975,TRY,280.00,0.00,476000.00,476000.00,85680.00,280.00,476000.00,14.52,24685.72,15.04,25564.73,12.56,21360.43,42840000,90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164569,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,50,M,561680.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,209.75,356575.00,217.00,368900.00
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,60,0571DSS110H,TZG. ALTI LAVABO (38x55),35.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194279,15441,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635442,SR12022000003976,TRY,340.00,0.00,11900.00,11900.00,2142.00,340.00,11900.00,17.63,617.14,18.26,639.12,15.26,534.01,1071000,90,,4350,1040041,VC,TEK,ORTA,LAVABO,TEZGAH ALTI,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164570,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,60,M,14042.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,182.69,6394.15,184.91,6471.85
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3001TXS110H,LAVABO (46x60),200.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194221,15440,,12/5/2022,Z100,Serel Yİ Satış,12/5/2022,L,90635538,SR12022000003980,TRY,350.00,0.00,70000.00,70000.00,12600.00,350.00,70000.00,17.86,3571.36,18.81,3761.36,15.36,3071.25,6300000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164969,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,82600.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,285.63,57126.00,303.24,60648.00
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),252.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194221,15440,,12/5/2022,Z100,Serel Yİ Satış,12/5/2022,L,90635538,SR12022000003980,TRY,420.00,0.00,105840.00,105840.00,19051.20,420.00,105840.00,21.43,5399.89,22.57,5687.17,18.43,4643.73,9525600,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164969,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,124891.20,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,356.43,89820.36,383.92,96747.84
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,50,2049TXL110H,TZG. ÜSTÜ LAVABO (28x45),1200.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194221,15440,,12/5/2022,Z100,Serel Yİ Satış,12/5/2022,L,90635538,SR12022000003980,TRY,280.00,0.00,336000.00,336000.00,60480.00,280.00,336000.00,14.29,17142.51,15.05,18054.52,12.29,14742.01,30240000,90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164969,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,50,M,396480.00,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,209.75,251700.00,217.00,260400.00
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),28.000,Z100,Serel Yİ Satış,,13252,ZT01,Serel Yurtiçi Tesl.,80194241,15440,,12/5/2022,Z100,Serel Yİ Satış,12/5/2022,L,90635539,SR12022000003981,TRY,420.00,0.00,11760.00,11760.00,2116.80,420.00,11760.00,21.43,599.99,22.57,631.91,18.43,515.97,1058400,90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202204,Z090,0000013252,10/7/2022,M,,,,,1099,0001164970,,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,13876.80,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,356.43,9980.04,383.92,10749.76
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO MOBİLYASI FABRİKASI,TR,Manisa,KARAAĞAÇLI  / ŞEHZADELER,10,3001TXS110H,LAVABO (46x60),280.000,Z100,Serel Yİ Satış,,13251,ZT01,Serel Yurtiçi Tesl.,80194222,15443,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635443,SR12022000003977,TRY,350.00,0.00,98000.00,98000.00,17640.00,350.00,98000.00,18.15,5082.35,18.80,5263.33,15.71,4397.73,8820000,90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,VARDAR2204,Z090,0000013251,10/7/2022,M,,,,,,0001164571,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,115640.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,285.63,79976.40,303.24,84907.20
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO MOBİLYASI FABRİKASI,TR,Manisa,KARAAĞAÇLI  / ŞEHZADELER,80,SP36DXS110H,SAPPHIRE TZG. ÜSTÜ LAVABO (35x50),10.000,Z100,Serel Yİ Satış,,13251,ZT01,Serel Yurtiçi Tesl.,80194222,15443,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635443,SR12022000003977,TRY,485.00,0.00,4850.00,4850.00,873.00,485.00,4850.00,25.15,251.52,26.05,260.48,21.76,217.64,436500,90,,4350,1040041,FC,TAKIM,ÜST,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,VARDAR2204,Z090,0000013251,10/7/2022,M,,,,,,0001164571,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,80,M,5723.00,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,271.36,2713.60,289.30,2893.00
202212,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,BAGNOTTİ BANYO MOBİLYASI FABRİKASI,TR,Manisa,KARAAĞAÇLI  / ŞEHZADELER,90,NT40TDS110H,NITA ETAJERLİ LAVABO (48x100),84.000,Z100,Serel Yİ Satış,,13251,ZT01,Serel Yurtiçi Tesl.,80194222,15443,,12/1/2022,Z100,Serel Yİ Satış,12/1/2022,L,90635443,SR12022000003977,TRY,530.00,0.00,44520.00,44520.00,8013.60,530.00,44520.00,27.49,2308.84,28.46,2391.05,23.78,1997.83,4006800,90,,4350,1040041,FC,TAKIM,ORTA,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2204,Z090,0000013251,10/7/2022,M,,,,,,0001164571,,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,90,M,52533.60,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,764.10,64184.40,565.86,47532.24
