Dönem,Dağıtım kanalı,Müşteri Hesap Grubu,Müş.Hesap Grubu Tnm,Sipariş Veren,Sipariş Veren İsim,Malı Teslim Alan Kodu,Malı Teslim Alan Adı,Ülke anahtarı,Yerleşim yeri,Mahalle,Fatura Kalemi,Malzeme,Malzeme Tanımı,Faturalama Miktar,Satış belgesi türü,Sipariş Türü Tanımı,Versiyon,Satış belgesi,Teslimat türü,Teslimat Türü Tanımı,Teslimat Numarası,Nakliye numarası,İrsaliye Numarası,Mal çıkış Tarihi,Fatura Türü,Fatura Türü Tanımı,Fatura Tarihi,Faturalama Tipi,Fatura Numarası,Referans No,Belge para birimi,Birim Fiyat,Eleks Birim Fiyat,Net değer,Toplam Tutar,Vergi tutarı,TRY Birim Fiyat,TRY Toplam Tutar,EUR Birim Fiyat,EUR Toplam Tutar,USD Birim Fiyat,USD Toplam Tutar,GBP Birim Fiyat,GBP Toplam Tutar,Vade Gün,Satış Vade Günü,Satış Vade Günü,Değerleme sınıfı,Mal Grubu,Malzeme Kod 1,Malzeme Kod 2,Malzeme Kod 3,Malzeme Kod 4,Malzeme Kod 5,Malzeme Türü,Fatura Koşul Kodu,Ödeme koşulu,Koşul kodu,Fiyatlanadırma Tarihi,Kur tipi,Eur Kur,Usd Kur,Gbp Kur,Sipariş Nedeni,Satış bürosu,Belge koşulu no.,SA sipariş numarası,Incoterms,Incoterms (bölüm 2),Ödeyen,Ödeyenin İsmi,Ödeyen Müşteri İl Kodu,Ödeyen Müşteri İlçe Kodu,Ara toplam 4,Ad,Ad 2,Kalem,SD belgesi tipi,Toplam Tutar,Sipariş Veren,Sipariş Veren Ad,Sip.Veren.Kent,Sip.Veren.Ülke,Sip.Veren.Bölge,Sip.Veren.Bölge Adı,Standart fiyat,Std. Fiyat Toplam,Fiili Fiyat,Fiili Fiyat Toplam
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),48.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201181,16314,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667657,SR12023000001436,TRY,689.00,0.00,"33,072.00","33,072.00","5,952.96",689.00,"33,072.00",32.10,"1,540.58",35.42,"1,700.26",28.36,"1,361.41","2,976,480",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223622,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,"39,024.96",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,588.07,"28,227.36",740.50,"35,544.00"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3001TXS110H,LAVABO (46x60),80.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201177,16315,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667658,SR12023000001437,TRY,490.00,0.00,"39,200.00","39,200.00","7,056.00",490.00,"39,200.00",22.83,"1,826.04",25.19,"2,015.31",20.17,"1,613.67","3,528,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223623,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,"46,256.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,385.52,"30,841.60",396.58,"31,726.40"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,30,3037TXS110H,ETAJERLİ LAVABO (46x100),144.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201187,16315,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667659,SR12023000001438,TRY,689.00,0.00,"99,216.00","99,216.00","17,858.88",689.00,"99,216.00",32.10,"4,621.75",35.42,"5,100.79",28.36,"4,084.24","8,929,440",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223624,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,30,M,"117,074.88",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,588.07,"84,682.08",740.50,"106,632.00"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,TR,İSTANBUL,Küçükçekmece,10,3037TXS110H,ETAJERLİ LAVABO (46x100),-564,Z108,Serel İade,,60001327,ZI01,Serel İade,84000648,,,5/9/2023,Z108,Serel İade,5/5/2023,L,900027078,0000000000000000,TRY,689.00,0.00,"388,596.00","388,596.00","69,947.28",689.00,"-388,596",32.00,"-18,049.63",35.40,"-19,964.14",28.20,"-15,907.62",0,0,0,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,,Z000,0060001327,5/9/2023,M,,,,Z36,1099,0001224837,OR0202300003175,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,O,"-318,648.72",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,588.07,"-331,671.48",740.50,"-417,642"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,20,3035TXS110H,ETAJERLİ LAVABO (46x80),504.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201177,16315,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667658,SR12023000001437,TRY,588.00,0.00,"296,352.00","296,352.00","53,343.36",588.00,"296,352.00",27.39,"13,804.87",30.23,"15,235.75",24.21,"12,199.37","26,671,680",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223623,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,20,M,"349,695.36",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,491.89,"247,912.56",504.04,"254,036.16"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,50,2049TXL110H,TZG. ÜSTÜ LAVABO (28x45),800.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201170,16314,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667656,SR12023000001435,TRY,350.00,0.00,"280,000.00","280,000.00","50,400.00",350.00,"280,000.00",16.30,"13,043.15",17.99,"14,395.07",14.41,"11,526.24","25,200,000",90,,4350,1040041,FC,TEK,ALT,LAVABO,TEZGAH ÜSTÜ,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223621,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,50,M,"330,400.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,278.09,"222,472.00",322.12,"257,696.00"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,40,2058TXS110H,SİLİNDİRİK LAVABO (46x46),14.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201170,16314,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667656,SR12023000001435,TRY,650.00,0.00,"9,100.00","9,100.00","1,638.00",650.00,"9,100.00",30.28,423.90,33.42,467.84,26.76,374.60,"819,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ÇANAK,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223621,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,40,M,"10,738.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,600.41,"8,405.74",715.18,"10,012.52"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,SEREL01,ORKA  DÜZCE A.Ş.,TR,DÜZCE,GÜMÜŞOVA,10,3001TXS110H,LAVABO (46x60),160.000,Z100,Serel Yİ Satış,,14161,ZT01,Serel Yurtiçi Tesl.,80201170,16314,,5/4/2023,Z100,Serel Yİ Satış,5/4/2023,L,90667656,SR12023000001435,TRY,490.00,0.00,"78,400.00","78,400.00","14,112.00",490.00,"78,400.00",22.83,"3,652.08",25.19,"4,030.62",20.17,"3,227.35","7,056,000",90,,4350,1040041,FC,TEK,ÜST,LAVABO,LAVABO,SERAMİK MAMUL,ORKA202301,Z090,0000014161,1/23/2023,M,,,,,1099,0001223621,4500007474,,,21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,Küçükçekmece,0.00,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,,10,M,"92,512.00",21518,ORKA AHŞAP VE YAPI ÜRÜNLERI SAN.A.Ş,İSTANBUL,TR,34,Istanbul,385.52,"61,683.20",396.58,"63,452.80"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3035TXS110H,ETAJERLİ LAVABO (46x80),56.000,Z100,Serel Yİ Satış,,14868,ZT01,Serel Yurtiçi Tesl.,80203082,16407,,5/24/2023,Z100,Serel Yİ Satış,5/24/2023,L,90671361,SR12023000001674,TRY,588.00,0.00,"32,928.00","32,928.00","5,927.04",588.00,"32,928.00",27.48,"1,539.08",29.66,"1,660.77",23.95,"1,341.47","2,963,520",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014868,5/23/2023,M,,,,,,0001230158,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"38,855.04",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,491.89,"27,545.84",504.04,"28,226.24"
202305,43,1251,TOPLULUK DIŞI IC PIYASA,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,TR,Manisa,YUNUSEMRE,10,3035TXS110H,ETAJERLİ LAVABO (46x80),280.000,Z100,Serel Yİ Satış,,14868,ZT01,Serel Yurtiçi Tesl.,80203224,16406,,5/24/2023,Z100,Serel Yİ Satış,5/24/2023,L,90671363,SR12023000001676,TRY,588.00,0.00,"164,640.00","164,640.00","29,635.20",588.00,"164,640.00",27.48,"7,695.40",29.66,"8,303.83",23.95,"6,707.35","14,817,600",90,,4350,1040041,FC,TEK,ÜST,LAVABO,ETAJERLİ,SERAMİK MAMUL,VARDAR2023,Z090,0000014868,5/23/2023,M,,,,,,0001230160,BAGNOTTİ,,,21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,Manisa,YUNUSEMRE,0.00,ÖZVARDAR CAM SAN. TİC. A.Ş.,,10,M,"194,275.20",21780,ÖZVARDAR CAM SAN. TİC. A.Ş.,MANISA,TR,45,Manisa,491.89,"137,729.20",504.04,"141,131.20"
